weekday,exit_hour,mean_inter_arrival_time,mean_cases
0,0,13.913265596192426,5.725609756097561
0,1,17.944704363959023,4.472049689440993
0,2,19.555013309671693,4.142857142857143
0,3,23.141808924827792,3.547169811320755
0,4,25.645738550197148,3.305732484076433
0,5,21.664747202483053,4.031446540880503
0,6,13.113476611862552,6.213414634146342
0,7,6.370178432746194,11.932515337423313
0,8,3.1288458295657477,23.451219512195124
0,9,2.4345512313620032,28.036585365853657
0,10,2.1123193102109465,31.317073170731707
0,11,2.268358859979103,29.676829268292682
0,12,2.4855430035649984,26.938650306748468
0,13,2.6630899665627,24.49079754601227
0,14,2.9467917874052763,22.460122699386503
0,15,3.231341975672216,20.380368098159508
0,16,3.530470731739661,19.5609756097561
0,17,3.384403696106742,19.274390243902438
0,18,3.6249585032001526,18.341463414634145
0,19,4.057307344136237,16.591463414634145
0,20,4.427486755186869,15.323170731707316
0,21,5.140812540716707,13.512195121951219
0,22,6.771245276030823,10.341463414634147
0,23,9.118736526631263,7.845679012345679
1,0,19.19705944462042,4.434146341463415
1,1,24.64780303030303,3.4875
1,2,27.79092451229856,2.969465648854962
1,3,32.29613899613899,2.4756756756756757
1,4,34.69939637826962,2.3183098591549296
1,5,37.50206440957886,2.2167630057803467
1,6,31.152653431944984,2.7465940054495914
1,7,25.27922805557767,3.4010282776349614
1,8,21.091852000795967,4.664141414141414
1,9,19.937052576129698,4.945273631840796
1,10,18.362111701586972,5.263546798029557
1,11,16.688790666676198,5.66256157635468
1,12,16.461794104968696,5.552825552825553
1,13,15.061238981869435,5.73955773955774
1,14,16.011627330393004,5.438423645320197
1,15,15.657931126354828,5.56479217603912
1,16,12.986854892762821,6.470731707317073
1,17,9.772479789590314,8.160194174757281
1,18,3.390313442438664,21.35024154589372
1,19,4.167024565438114,16.729468599033815
1,20,4.687893493438794,14.519323671497585
1,21,5.710606755010443,12.02415458937198
1,22,7.335271069606804,9.770531400966183
1,23,11.007666447883839,6.840579710144928
